Company
ABB Ltd (SWX:ABBN)
"Amazon.com, Inc. (NasdaqGS:AMZN)"
"Cisco Systems, Inc. (NasdaqGS:CSCO)"
Intel Corporation (NasdaqGS:INTC)
Kyocera Corporation (TSE:6971)
Microsoft Corporation (NasdaqGS:MSFT)
Oracle Corporation (NYSE:ORCL)
"Roper Technologies, Inc. (NasdaqGS:ROP)"
Sony Group Corporation (TSE:6758)
Thales S.A. (ENXTPA:HO)
Apple Inc. (NasdaqGS:AAPL)
ASUSTeK Computer Inc. (TWSE:2357)
BorgWarner Inc. (NYSE:BWA)
Ciena Corporation (NYSE:CIEN)
"CommScope Holding Company, Inc. (NasdaqGS:COMM)"
Alphabet Inc. (NasdaqGS:GOOGL)
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)"
"Itron, Inc. (NasdaqGS:ITRI)"
"Juniper Networks, Inc. (NYSE:JNPR)"
Lam Research Corporation (NasdaqGS:LRCX)
Lear Corporation (NYSE:LEA)
"Mattel, Inc. (NasdaqGS:MAT)"
Medtronic plc (NYSE:MDT)
Mettler-Toledo International Inc. (NYSE:MTD)
"AMETEK, Inc. (NYSE:AME)"
NEC Corporation (TSE:6701)
"NetApp, Inc. (NasdaqGS:NTAP)"
Textron Inc. (NYSE:TXT)
Westinghouse Air Brake Technologies Corporation (NYSE:WAB)
Waters Corporation (NYSE:WAT)
"Samsung Electronics Co., Ltd. (KOSE:A005930)"
Vantiva S.A. (ENXTPA:VANTI)
Sirius XM Holdings Inc. (NasdaqGS:SIRI)
"Teradyne, Inc. (NasdaqGS:TER)"
Thermo Fisher Scientific Inc. (NYSE:TMO)
Northrop Grumman Corporation (NYSE:NOC)
"Motorola Solutions, Inc. (NYSE:MSI)"
Bayer Aktiengesellschaft (XTRA:BAYN)
Xerox Holdings Corporation (NasdaqGS:XRX)
"Elitegroup Computer Systems Co.,Ltd. (TWSE:2331)"
HP Inc. (NYSE:HPQ)
International Business Machines Corporation (NYSE:IBM)
Spectris plc (LSE:SXS)
Atos SE (ENXTPA:ATO)
Johnson & Johnson (NYSE:JNJ)
"Hitachi, Ltd. (TSE:6501)"
"Agilent Technologies, Inc. (NYSE:A)"
RTX Corporation (NYSE:RTX)
NCR Voyix Corporation (NYSE:VYX)
Dover Corporation (NYSE:DOV)
Eaton Corporation plc (NYSE:ETN)
General Electric Company (NYSE:GE)
"L3Harris Technologies, Inc. (NYSE:LHX)"
Koninklijke Philips N.V. (ENXTAM:PHIA)
Canon Inc. (TSE:7751)
Belden Inc. (NYSE:BDC)
Sharp Corporation (TSE:6753)
Visteon Corporation (NasdaqGS:VC)
Abbott Laboratories (NYSE:ABT)
"Applied Materials, Inc. (NasdaqGS:AMAT)"
VOXX International Corporation (NasdaqGS:VOXX)
Baxter International Inc. (NYSE:BAX)
Danaher Corporation (NYSE:DHR)
Dell Technologies Inc. (NYSE:DELL)
Deere & Company (NYSE:DE)
"Diebold Nixdorf, Incorporated (NYSE:DBD)"
Flowserve Corporation (NYSE:FLS)
"Revvity, Inc. (NYSE:RVTY)"
Emerson Electric Co. (NYSE:EMR)
Telefonaktiebolaget LM Ericsson (publ) (OM:ERIC B)
General Dynamics Corporation (NYSE:GD)
"SPX Technologies, Inc. (NYSE:SPXC)"
ITT Inc. (NYSE:ITT)
Trane Technologies plc (NYSE:TT)
KLA Corporation (NasdaqGS:KLAC)
Johnson Controls International plc (NYSE:JCI)
Lockheed Martin Corporation (NYSE:LMT)
Magna International Inc. (TSX:MG)
Moog Inc. (NYSE:MOG.A)
Parker-Hannifin Corporation (NYSE:PH)
Pioneer Natural Resources Company (NYSE:PXD)
Pitney Bowes Inc. (NYSE:PBI)
"Rockwell Automation, Inc. (NYSE:ROK)"
Schlumberger Limited (NYSE:SLB)
"Stanley Black & Decker, Inc. (NYSE:SWK)"
Coherent Corp. (NYSE:COHR)
Unisys Corporation (NYSE:UIS)
Western Digital Corporation (NasdaqGS:WDC)
Whirlpool Corporation (NYSE:WHR)
Boston Scientific Corporation (NYSE:BSX)
Panasonic Holdings Corporation (TSE:6752)
Ingersoll Rand Inc. (NYSE:IR)
Keurig Dr Pepper Inc. (NasdaqGS:KDP)
National Instruments Corporation
"Autoliv, Inc. (NYSE:ALV)"
The Boeing Company (NYSE:BA)
Fresenius Medical Care AG & Co. KGaA (XTRA:FME)
Logitech International S.A. (SWX:LOGN)
ASML Holding N.V. (ENXTAM:ASML)
Zebra Technologies Corporation (NasdaqGS:ZBRA)
Siemens Aktiengesellschaft (XTRA:SIE)
Fujitsu Limited (TSE:6702)
BlackBerry Limited (TSX:BB)
Rolls-Royce Holdings plc (LSE:RR.)
"Ricoh Company, Ltd. (TSE:7752)"
Vtech Holdings Limited (SEHK:303)
Lenovo Group Limited (SEHK:992)
Continental Aktiengesellschaft (XTRA:CON)
FUJIFILM Holdings Corporation (TSE:4901)
Forvia SE (ENXTPA:FRVIA)
AB Electrolux (publ) (OM:ELUX B)
Bruker Corporation (NasdaqGS:BRKR)
iRobot Corporation (NasdaqGS:IRBT)
Airbus SE (ENXTPA:AIR)
Garmin Ltd. (NYSE:GRMN)
Sandvik AB (publ) (OM:SAND)
Elbit Systems Ltd. (TASE:ESLT)
Olympus Corporation (TSE:7733)
Schneider Electric S.E. (ENXTPA:SU)
Embraer S.A. (BOVESPA:EMBR3)
Roche Holding AG (SWX:ROG)
Valeo SE (ENXTPA:FR)
Leonardo S.p.a. (BIT:LDO)
