,TotalSpend,DevSpends,MarketSpends,SubMarketSpends,Cogs,Cogs_1,Cogs_2,Revenue,Revenue_1,Revenue_2,Ebitda,Ebitda_1,Ebitda_2,Device_Analog Application Specific IC,Device_Data Converters,Device_Interface,Device_Voltage Regulator/Reference,Market_Computer Peripherals & Storage,Market_Computer Platforms,Market_Consumer,Market_Industrial,Market_Wired Communications,Market_Wireless Communications,SubMarket_Audio,SubMarket_Auto ADAS,SubMarket_Auto Infotainment,SubMarket_Auto Powertrain,SubMarket_Carrier,SubMarket_Connected Consumer,SubMarket_DC Network & Threat Mitigation,SubMarket_Data Center Servers,SubMarket_Desktop PCs,SubMarket_Enterprise/SOHO,SubMarket_Flash Cards/Drives,SubMarket_HDD,SubMarket_Handset,SubMarket_Infrastructure,SubMarket_Media Tablets,SubMarket_Medical,SubMarket_Military/Aerospace,SubMarket_Notebook PCs,SubMarket_Other Auto & Aftermarket,SubMarket_Other Computer Products,SubMarket_Other Consumer,SubMarket_Other Industrial,SubMarket_Other Peripherals,SubMarket_Other Storage,SubMarket_Other Wired,SubMarket_Other Wireless,SubMarket_Power & Energy,SubMarket_STB,SubMarket_TV,SubMarket_Tablet PCs,SubMarket_Test & Measurement,SubMarket_Video Games
3194,95.0,163007.011,185313.426,73644.39899999999,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3195,94.001,212172.612,245426.412,111188.475,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3196,116.0,242620.053,262578.29,121472.814,14776.15,12643.51,11964.99,27032.3,23558.5,21190.8,4062.4,3501.8,2359.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3199,180.417,172603.835,744408.882,47336.268,14191.25,14010.72,11596.96,26499.4,27358.2,22808.4,4094.9,4206.1,3211.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200,166.298,163733.518,694336.713,44190.552,13298.64,14191.25,14010.72,24094.6,26499.4,27358.2,2844.1,4094.9,4206.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3201,169.875,163007.011,715358.27,44726.976,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3202,230.167,212172.612,898036.093,54468.33,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3203,270.969,242620.053,1010453.11,59861.172,14776.15,12643.51,11964.99,27032.3,23558.5,21190.8,4062.4,3501.8,2359.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3206,631.361,172603.835,744408.882,537753.4349999999,14191.25,14010.72,11596.96,26499.4,27358.2,22808.4,4094.9,4206.1,3211.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3207,591.464,163733.518,694336.713,499930.428,13298.64,14191.25,14010.72,24094.6,26499.4,27358.2,2844.1,4094.9,4206.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3208,593.2479999999999,163007.011,715358.27,522714.498,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3209,844.212,212172.612,898036.093,664308.393,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3210,944.739,242620.053,1010453.11,749997.384,14776.15,12643.51,11964.99,27032.3,23558.5,21190.8,4062.4,3501.8,2359.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3213,343.383,172603.835,744408.882,52859.079,14191.25,14010.72,11596.96,26499.4,27358.2,22808.4,4094.9,4206.1,3211.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3214,321.595,163733.518,694336.713,49465.728,13298.64,14191.25,14010.72,24094.6,26499.4,27358.2,2844.1,4094.9,4206.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3215,316.085,163007.011,715358.27,49025.457,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3216,413.487,212172.612,898036.093,62333.544,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3217,464.215,242620.053,1010453.11,70551.429,14776.15,12643.51,11964.99,27032.3,23558.5,21190.8,4062.4,3501.8,2359.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3220,614.146,1336573.653,59559.026,40870.402,14191.25,14010.72,11596.96,26499.4,27358.2,22808.4,4094.9,4206.1,3211.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3221,854.925,1263610.429,72744.33,62203.546,13298.64,14191.25,14010.72,24094.6,26499.4,27358.2,2844.1,4094.9,4206.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3222,849.81,1368492.046,73680.28,60297.259999999995,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3223,905.881,1733267.025,87144.25,64026.526,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3224,720.983,1969197.965,74227.89,46551.218,14776.15,12643.51,11964.99,27032.3,23558.5,21190.8,4062.4,3501.8,2359.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3227,442.221,1336573.653,66738.632,23213.44,14191.25,14010.72,11596.96,26499.4,27358.2,22808.4,4094.9,4206.1,3211.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3228,525.1310000000001,1263610.429,70347.31300000001,30753.28,13298.64,14191.25,14010.72,24094.6,26499.4,27358.2,2844.1,4094.9,4206.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3229,487.028,1368492.046,75961.04,27808.896,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3230,549.956,1733267.025,106413.934,28766.624,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3231,477.378,1969197.965,104825.166,24780.096,14776.15,12643.51,11964.99,27032.3,23558.5,21190.8,4062.4,3501.8,2359.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3234,541.316,1336573.653,172636.672,62433.354,14191.25,14010.72,11596.96,26499.4,27358.2,22808.4,4094.9,4206.1,3211.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3235,578.748,1263610.429,170045.222,62785.386000000006,13298.64,14191.25,14010.72,24094.6,26499.4,27358.2,2844.1,4094.9,4206.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3236,657.006,1368492.046,185313.426,73644.39899999999,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3237,1155.673,1733267.025,245426.412,111188.475,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3238,1194.104,1969197.965,262578.29,121472.814,14776.15,12643.51,11964.99,27032.3,23558.5,21190.8,4062.4,3501.8,2359.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3241,382.721,1336573.653,744408.882,47336.268,14191.25,14010.72,11596.96,26499.4,27358.2,22808.4,4094.9,4206.1,3211.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3242,358.533,1263610.429,694336.713,44190.552,13298.64,14191.25,14010.72,24094.6,26499.4,27358.2,2844.1,4094.9,4206.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3243,359.28200000000004,1368492.046,715358.27,44726.976,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3244,408.268,1733267.025,898036.093,54468.33,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3245,454.887,1969197.965,1010453.11,59861.172,14776.15,12643.51,11964.99,27032.3,23558.5,21190.8,4062.4,3501.8,2359.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3248,1852.706,1336573.653,744408.882,537753.4349999999,14191.25,14010.72,11596.96,26499.4,27358.2,22808.4,4094.9,4206.1,3211.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3249,1696.4689999999998,1263610.429,694336.713,499930.428,13298.64,14191.25,14010.72,24094.6,26499.4,27358.2,2844.1,4094.9,4206.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3250,1768.073,1368492.046,715358.27,522714.498,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3251,2139.697,1733267.025,898036.093,664308.393,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3252,2505.149,1969197.965,1010453.11,749997.384,14776.15,12643.51,11964.99,27032.3,23558.5,21190.8,4062.4,3501.8,2359.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3255,183.722,1336573.653,744408.882,52859.079,14191.25,14010.72,11596.96,26499.4,27358.2,22808.4,4094.9,4206.1,3211.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3256,170.415,1263610.429,694336.713,49465.728,13298.64,14191.25,14010.72,24094.6,26499.4,27358.2,2844.1,4094.9,4206.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3257,172.428,1368492.046,715358.27,49025.457,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3258,206.624,1733267.025,898036.093,62333.544,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3259,247.169,1969197.965,1010453.11,70551.429,14776.15,12643.51,11964.99,27032.3,23558.5,21190.8,4062.4,3501.8,2359.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3262,21.564,167391.241,59559.026,40870.402,14191.25,14010.72,11596.96,26499.4,27358.2,22808.4,4094.9,4206.1,3211.6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3263,42.135,156523.044,72744.33,62203.546,13298.64,14191.25,14010.72,24094.6,26499.4,27358.2,2844.1,4094.9,4206.1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3264,35.0,154996.351,73680.28,60297.259999999995,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3265,24.0,213571.909,87144.25,64026.526,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3266,17.0,241131.863,74227.89,46551.218,14776.15,12643.51,11964.99,27032.3,23558.5,21190.8,4062.4,3501.8,2359.6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3269,35.839,167391.241,66738.632,23213.44,14191.25,14010.72,11596.96,26499.4,27358.2,22808.4,4094.9,4206.1,3211.6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3270,49.341,156523.044,70347.31300000001,30753.28,13298.64,14191.25,14010.72,24094.6,26499.4,27358.2,2844.1,4094.9,4206.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3271,39.0,154996.351,75961.04,27808.896,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3272,25.001,213571.909,106413.934,28766.624,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3273,21.0,241131.863,104825.166,24780.096,14776.15,12643.51,11964.99,27032.3,23558.5,21190.8,4062.4,3501.8,2359.6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3276,211.222,167391.241,172636.672,62433.354,14191.25,14010.72,11596.96,26499.4,27358.2,22808.4,4094.9,4206.1,3211.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3277,190.012,156523.044,170045.222,62785.386000000006,13298.64,14191.25,14010.72,24094.6,26499.4,27358.2,2844.1,4094.9,4206.1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3278,211.0,154996.351,185313.426,73644.39899999999,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3279,227.0,213571.909,245426.412,111188.475,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3280,281.0,241131.863,262578.29,121472.814,14776.15,12643.51,11964.99,27032.3,23558.5,21190.8,4062.4,3501.8,2359.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3283,235.271,167391.241,744408.882,47336.268,14191.25,14010.72,11596.96,26499.4,27358.2,22808.4,4094.9,4206.1,3211.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3284,220.367,156523.044,694336.713,44190.552,13298.64,14191.25,14010.72,24094.6,26499.4,27358.2,2844.1,4094.9,4206.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3285,223.1,154996.351,715358.27,44726.976,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3286,315.874,213571.909,898036.093,54468.33,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3287,332.646,241131.863,1010453.11,59861.172,14776.15,12643.51,11964.99,27032.3,23558.5,21190.8,4062.4,3501.8,2359.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3290,654.53,167391.241,744408.882,537753.4349999999,14191.25,14010.72,11596.96,26499.4,27358.2,22808.4,4094.9,4206.1,3211.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3291,608.545,156523.044,694336.713,499930.428,13298.64,14191.25,14010.72,24094.6,26499.4,27358.2,2844.1,4094.9,4206.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3292,598.6619999999999,154996.351,715358.27,522714.498,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3293,990.197,213571.909,898036.093,664308.393,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3294,1105.668,241131.863,1010453.11,749997.384,14776.15,12643.51,11964.99,27032.3,23558.5,21190.8,4062.4,3501.8,2359.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3297,457.037,167391.241,744408.882,52859.079,14191.25,14010.72,11596.96,26499.4,27358.2,22808.4,4094.9,4206.1,3211.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3298,428.601,156523.044,694336.713,49465.728,13298.64,14191.25,14010.72,24094.6,26499.4,27358.2,2844.1,4094.9,4206.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3299,419.238,154996.351,715358.27,49025.457,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3300,557.452,213571.909,898036.093,62333.544,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3301,627.53,241131.863,1010453.11,70551.429,14776.15,12643.51,11964.99,27032.3,23558.5,21190.8,4062.4,3501.8,2359.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3304,25.929,155621.654,59559.026,40870.402,14191.25,14010.72,11596.96,26499.4,27358.2,22808.4,4094.9,4206.1,3211.6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3305,30.935,148452.552,72744.33,62203.546,13298.64,14191.25,14010.72,24094.6,26499.4,27358.2,2844.1,4094.9,4206.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3306,34.0,158114.629,73680.28,60297.259999999995,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3307,33.0,194289.837,87144.25,64026.526,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3308,28.0,217039.34,74227.89,46551.218,14776.15,12643.51,11964.99,27032.3,23558.5,21190.8,4062.4,3501.8,2359.6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3311,15.98,155621.654,66738.632,23213.44,14191.25,14010.72,11596.96,26499.4,27358.2,22808.4,4094.9,4206.1,3211.6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3312,20.443,148452.552,70347.31300000001,30753.28,13298.64,14191.25,14010.72,24094.6,26499.4,27358.2,2844.1,4094.9,4206.1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3313,21.0,158114.629,75961.04,27808.896,11964.99,13298.64,14191.25,21190.8,24094.6,26499.4,2359.6,2844.1,4094.9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3314,19.0,194289.837,106413.934,28766.624,12643.51,11964.99,13298.64,23558.5,21190.8,24094.6,3501.8,2359.6,2844.1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
