Company,Year,Revenue
Oracle Corporation (NYSE:ORCL),2021,41399
Oracle Corporation (NYSE:ORCL),2022,46073
Oracle Corporation (NYSE:ORCL),2023,49864.21
Oracle Corporation (NYSE:ORCL),2024,53697.46
Oracle Corporation (NYSE:ORCL),2025,58188.05
Oracle Corporation (NYSE:ORCL),2026,63864.16
Oracle Corporation (NYSE:ORCL),2027,70284
"Roper Technologies, Inc. (NasdaqGS:ROP)",2016,3789.9
"Roper Technologies, Inc. (NasdaqGS:ROP)",2017,4607.5
"Roper Technologies, Inc. (NasdaqGS:ROP)",2018,5191.2
"Roper Technologies, Inc. (NasdaqGS:ROP)",2019,4727.7
"Roper Technologies, Inc. (NasdaqGS:ROP)",2020,4022.4
"Roper Technologies, Inc. (NasdaqGS:ROP)",2021,4833.8
"Roper Technologies, Inc. (NasdaqGS:ROP)",2022,5371.8
"Roper Technologies, Inc. (NasdaqGS:ROP)",2023,6140.57
"Roper Technologies, Inc. (NasdaqGS:ROP)",2024,6626.16
"Roper Technologies, Inc. (NasdaqGS:ROP)",2025,7125.3
"Roper Technologies, Inc. (NasdaqGS:ROP)",2026,8597
"Roper Technologies, Inc. (NasdaqGS:ROP)",2027,10902.628571428708
Sony Group Corporation (TSE:6758),2016,50449.9
Sony Group Corporation (TSE:6758),2017,56973.1
Sony Group Corporation (TSE:6758),2018,56861.3
Sony Group Corporation (TSE:6758),2019,57925.8
Sony Group Corporation (TSE:6758),2020,57068.4
Sony Group Corporation (TSE:6758),2021,66344.5
Sony Group Corporation (TSE:6758),2022,71470
Sony Group Corporation (TSE:6758),2023,76848.08
Sony Group Corporation (TSE:6758),2024,81501.48
Sony Group Corporation (TSE:6758),2025,83172.79
Sony Group Corporation (TSE:6758),2026,85192.59
Sony Group Corporation (TSE:6758),2027,84744.09
Thales S.A. (ENXTPA:HO),2016,15792.9
Thales S.A. (ENXTPA:HO),2017,16156.5
Thales S.A. (ENXTPA:HO),2018,16822
Thales S.A. (ENXTPA:HO),2019,19523.6
Thales S.A. (ENXTPA:HO),2020,16308.8
Thales S.A. (ENXTPA:HO),2021,17179.8
Thales S.A. (ENXTPA:HO),2022,18640.6
Thales S.A. (ENXTPA:HO),2023,19298.21
Thales S.A. (ENXTPA:HO),2024,20988.11
Thales S.A. (ENXTPA:HO),2025,22373.57
Thales S.A. (ENXTPA:HO),2026,23589.66
Thales S.A. (ENXTPA:HO),2027,24129.44
Apple Inc. (NasdaqGS:AAPL),2016,218118
Apple Inc. (NasdaqGS:AAPL),2017,239176
Apple Inc. (NasdaqGS:AAPL),2018,261612
Apple Inc. (NasdaqGS:AAPL),2019,267683
Apple Inc. (NasdaqGS:AAPL),2020,294135
Apple Inc. (NasdaqGS:AAPL),2021,378323
Apple Inc. (NasdaqGS:AAPL),2022,387537
Apple Inc. (NasdaqGS:AAPL),2023,382941.05
Apple Inc. (NasdaqGS:AAPL),2024,403351.63
Apple Inc. (NasdaqGS:AAPL),2025,427024.22
Apple Inc. (NasdaqGS:AAPL),2026,475203
Apple Inc. (NasdaqGS:AAPL),2027,526707.5
ASUSTeK Computer Inc. (TWSE:2357),2016,14418.2
ASUSTeK Computer Inc. (TWSE:2357),2017,11935.3
ASUSTeK Computer Inc. (TWSE:2357),2018,10939.8
ASUSTeK Computer Inc. (TWSE:2357),2019,10851.6
ASUSTeK Computer Inc. (TWSE:2357),2020,12749.6
ASUSTeK Computer Inc. (TWSE:2357),2021,16532
ASUSTeK Computer Inc. (TWSE:2357),2022,16592.3
ASUSTeK Computer Inc. (TWSE:2357),2023,15278.79
ASUSTeK Computer Inc. (TWSE:2357),2024,17288.99
ASUSTeK Computer Inc. (TWSE:2357),2025,18738.74
ASUSTeK Computer Inc. (TWSE:2357),2026,8493.428571428289
ASUSTeK Computer Inc. (TWSE:2357),2027,8931.571428571013
BorgWarner Inc. (NYSE:BWA),2016,9071
BorgWarner Inc. (NYSE:BWA),2017,9799
BorgWarner Inc. (NYSE:BWA),2018,10530
BorgWarner Inc. (NYSE:BWA),2019,10168
BorgWarner Inc. (NYSE:BWA),2020,10165
BorgWarner Inc. (NYSE:BWA),2021,14838
BorgWarner Inc. (NYSE:BWA),2022,15801
BorgWarner Inc. (NYSE:BWA),2023,14455.85
BorgWarner Inc. (NYSE:BWA),2024,15673.8
BorgWarner Inc. (NYSE:BWA),2025,17184.55
BorgWarner Inc. (NYSE:BWA),2026,18762.44
BorgWarner Inc. (NYSE:BWA),2027,19291.7
Ciena Corporation (NYSE:CIEN),2016,2649
Ciena Corporation (NYSE:CIEN),2017,2826.3
Ciena Corporation (NYSE:CIEN),2018,3226.7
Ciena Corporation (NYSE:CIEN),2019,3626.5
Ciena Corporation (NYSE:CIEN),2020,3456.4
Ciena Corporation (NYSE:CIEN),2021,3708
Ciena Corporation (NYSE:CIEN),2022,3844.7
Ciena Corporation (NYSE:CIEN),2023,4361.52
Ciena Corporation (NYSE:CIEN),2024,4621.07
Ciena Corporation (NYSE:CIEN),2025,4941.3
Ciena Corporation (NYSE:CIEN),2026,28894.596428570687
Ciena Corporation (NYSE:CIEN),2027,29355.81428571348
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2016,4923.6
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2017,4560.6
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2018,4568.5
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2019,8345.1
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2020,8435.9
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2021,8586.7
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2022,9228.1
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2023,7195.99
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2024,7464.89
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2025,7346.79
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2026,403927.14285710454
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2027,436675.85714282095
Alphabet Inc. (NasdaqGS:GOOGL),2016,90272
Alphabet Inc. (NasdaqGS:GOOGL),2017,110855
Alphabet Inc. (NasdaqGS:GOOGL),2018,136819
Alphabet Inc. (NasdaqGS:GOOGL),2019,161857
Alphabet Inc. (NasdaqGS:GOOGL),2020,182527
Alphabet Inc. (NasdaqGS:GOOGL),2021,257637
Alphabet Inc. (NasdaqGS:GOOGL),2022,282836
Alphabet Inc. (NasdaqGS:GOOGL),2023,305636.33
Alphabet Inc. (NasdaqGS:GOOGL),2024,340238.32
Alphabet Inc. (NasdaqGS:GOOGL),2025,377921.12
Alphabet Inc. (NasdaqGS:GOOGL),2026,414552.09
Alphabet Inc. (NasdaqGS:GOOGL),2027,452954.75
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2016,2706.5
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2017,3138.2
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2018,3724.2
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2019,4478.5
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2020,4358.4
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2021,5710.1
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2022,6222.2
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2023,7068.08
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2024,8082.07
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2025,9184.25
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2026,10190.41
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2027,11204.48
"Itron, Inc. (NasdaqGS:ITRI)",2016,2013.2
"Itron, Inc. (NasdaqGS:ITRI)",2017,2018.2
"Itron, Inc. (NasdaqGS:ITRI)",2018,2376.1
"Itron, Inc. (NasdaqGS:ITRI)",2019,2502.5
"Itron, Inc. (NasdaqGS:ITRI)",2020,2173.4
"Itron, Inc. (NasdaqGS:ITRI)",2021,1981.6
"Itron, Inc. (NasdaqGS:ITRI)",2022,1795.6
"Itron, Inc. (NasdaqGS:ITRI)",2023,2113.41
"Itron, Inc. (NasdaqGS:ITRI)",2024,2244.37
"Itron, Inc. (NasdaqGS:ITRI)",2025,2409.14
"Itron, Inc. (NasdaqGS:ITRI)",2026,497137.64285710454
"Itron, Inc. (NasdaqGS:ITRI)",2027,526390.2857142463
"Juniper Networks, Inc. (NYSE:JNPR)",2016,4990.1
"Juniper Networks, Inc. (NYSE:JNPR)",2017,5027.2
"Juniper Networks, Inc. (NYSE:JNPR)",2018,4647.5
"Juniper Networks, Inc. (NYSE:JNPR)",2019,4445.4
"Juniper Networks, Inc. (NYSE:JNPR)",2020,4445.1
"Juniper Networks, Inc. (NYSE:JNPR)",2021,4735.4
"Juniper Networks, Inc. (NYSE:JNPR)",2022,5301.2
"Juniper Networks, Inc. (NYSE:JNPR)",2023,5605.73
"Juniper Networks, Inc. (NYSE:JNPR)",2024,5517.03
"Juniper Networks, Inc. (NYSE:JNPR)",2025,1141.61
"Juniper Networks, Inc. (NYSE:JNPR)",2026,5826
"Juniper Networks, Inc. (NYSE:JNPR)",2027,15061.142857143088
Lam Research Corporation (NasdaqGS:LRCX),2016,6375
Lam Research Corporation (NasdaqGS:LRCX),2017,9557.9
Lam Research Corporation (NasdaqGS:LRCX),2018,10871.4
Lam Research Corporation (NasdaqGS:LRCX),2019,9549.4
Lam Research Corporation (NasdaqGS:LRCX),2020,3387.2
Lam Research Corporation (NasdaqGS:LRCX),2021,16523.9
Lam Research Corporation (NasdaqGS:LRCX),2022,19047.7
Lam Research Corporation (NasdaqGS:LRCX),2023,17354.36
Lam Research Corporation (NasdaqGS:LRCX),2024,14703.84
Lam Research Corporation (NasdaqGS:LRCX),2025,17245.41
Lam Research Corporation (NasdaqGS:LRCX),2026,19272
Lam Research Corporation (NasdaqGS:LRCX),2027,21835
Lear Corporation (NYSE:LEA),2016,18557.6
Lear Corporation (NYSE:LEA),2017,20467
Lear Corporation (NYSE:LEA),2018,21148.5
Lear Corporation (NYSE:LEA),2019,19810.3
Lear Corporation (NYSE:LEA),2020,17045.5
Lear Corporation (NYSE:LEA),2021,19263.1
Lear Corporation (NYSE:LEA),2022,20891.5
Lear Corporation (NYSE:LEA),2023,23210.12
Lear Corporation (NYSE:LEA),2024,24508.22
Lear Corporation (NYSE:LEA),2025,25942.9
Lear Corporation (NYSE:LEA),2026,28207.98
Lear Corporation (NYSE:LEA),2027,29337.27
"Mattel, Inc. (NasdaqGS:MAT)",2016,5453.2
"Mattel, Inc. (NasdaqGS:MAT)",2017,4881.5
"Mattel, Inc. (NasdaqGS:MAT)",2018,4514.8
"Mattel, Inc. (NasdaqGS:MAT)",2019,4504.6
"Mattel, Inc. (NasdaqGS:MAT)",2020,4588.4
"Mattel, Inc. (NasdaqGS:MAT)",2021,5457.7
"Mattel, Inc. (NasdaqGS:MAT)",2022,5434.7
"Mattel, Inc. (NasdaqGS:MAT)",2023,5479.95
"Mattel, Inc. (NasdaqGS:MAT)",2024,5635.12
"Mattel, Inc. (NasdaqGS:MAT)",2025,5888.91
"Mattel, Inc. (NasdaqGS:MAT)",2026,6106.1
"Mattel, Inc. (NasdaqGS:MAT)",2027,6144
Medtronic plc (NYSE:MDT),2016,29361
Medtronic plc (NYSE:MDT),2017,29725
Medtronic plc (NYSE:MDT),2018,30555
Medtronic plc (NYSE:MDT),2019,31062
Medtronic plc (NYSE:MDT),2020,27926
Medtronic plc (NYSE:MDT),2021,31785
Medtronic plc (NYSE:MDT),2022,30772
Medtronic plc (NYSE:MDT),2023,30928.53
Medtronic plc (NYSE:MDT),2024,32169.22
Medtronic plc (NYSE:MDT),2025,33626.72
Medtronic plc (NYSE:MDT),2026,35264.44
Medtronic plc (NYSE:MDT),2027,37143.28
Mettler-Toledo International Inc. (NYSE:MTD),2016,2508.3
Mettler-Toledo International Inc. (NYSE:MTD),2017,2725.1
Mettler-Toledo International Inc. (NYSE:MTD),2018,2935.6
Mettler-Toledo International Inc. (NYSE:MTD),2019,3008.7
Mettler-Toledo International Inc. (NYSE:MTD),2020,3085.2
Mettler-Toledo International Inc. (NYSE:MTD),2021,3717.9
Mettler-Toledo International Inc. (NYSE:MTD),2022,3919.7
Mettler-Toledo International Inc. (NYSE:MTD),2023,3902.15
Mettler-Toledo International Inc. (NYSE:MTD),2024,4012.22
Mettler-Toledo International Inc. (NYSE:MTD),2025,4276.82
Mettler-Toledo International Inc. (NYSE:MTD),2026,4525.95
Mettler-Toledo International Inc. (NYSE:MTD),2027,4728.84
"AMETEK, Inc. (NYSE:AME)",2016,3840.1
"AMETEK, Inc. (NYSE:AME)",2017,4300.2
"AMETEK, Inc. (NYSE:AME)",2018,4845.9
"AMETEK, Inc. (NYSE:AME)",2019,5158.6
"AMETEK, Inc. (NYSE:AME)",2020,4540
"AMETEK, Inc. (NYSE:AME)",2021,5546.5
"AMETEK, Inc. (NYSE:AME)",2022,6150.5
"AMETEK, Inc. (NYSE:AME)",2023,6629.25
"AMETEK, Inc. (NYSE:AME)",2024,7018.1
"AMETEK, Inc. (NYSE:AME)",2025,7648.12
"AMETEK, Inc. (NYSE:AME)",2026,8770.6
"AMETEK, Inc. (NYSE:AME)",2027,11047.28
NEC Corporation (TSE:6701),2016,17880.4
NEC Corporation (TSE:6701),2017,19055.8
NEC Corporation (TSE:6701),2018,19498.2
NEC Corporation (TSE:6701),2019,20481.1
NEC Corporation (TSE:6701),2020,19875.3
NEC Corporation (TSE:6701),2021,20424.3
NEC Corporation (TSE:6701),2022,21370.2
NEC Corporation (TSE:6701),2023,21440.95
NEC Corporation (TSE:6701),2024,22954.4
NEC Corporation (TSE:6701),2025,23830.13
NEC Corporation (TSE:6701),2026,24745.41
NEC Corporation (TSE:6701),2027,25028
"NetApp, Inc. (NasdaqGS:NTAP)",2016,5418
"NetApp, Inc. (NasdaqGS:NTAP)",2017,5756
"NetApp, Inc. (NasdaqGS:NTAP)",2018,6198
"NetApp, Inc. (NasdaqGS:NTAP)",2019,5603
"NetApp, Inc. (NasdaqGS:NTAP)",2020,5590
"NetApp, Inc. (NasdaqGS:NTAP)",2021,6193
"NetApp, Inc. (NasdaqGS:NTAP)",2022,6461
"NetApp, Inc. (NasdaqGS:NTAP)",2023,6323.69
"NetApp, Inc. (NasdaqGS:NTAP)",2024,6141.19
"NetApp, Inc. (NasdaqGS:NTAP)",2025,6408.57
"NetApp, Inc. (NasdaqGS:NTAP)",2026,6766.97
"NetApp, Inc. (NasdaqGS:NTAP)",2027,897.3714285714377
Textron Inc. (NYSE:TXT),2016,13788
Textron Inc. (NYSE:TXT),2017,14198
Textron Inc. (NYSE:TXT),2018,13972
Textron Inc. (NYSE:TXT),2019,13630
Textron Inc. (NYSE:TXT),2020,11651
Textron Inc. (NYSE:TXT),2021,12382
Textron Inc. (NYSE:TXT),2022,12869
Textron Inc. (NYSE:TXT),2023,13773.2
Textron Inc. (NYSE:TXT),2024,14742.78
Textron Inc. (NYSE:TXT),2025,15479.75
Textron Inc. (NYSE:TXT),2026,15856.75
Textron Inc. (NYSE:TXT),2027,16906
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2016,2931.2
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2017,3881.7
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2018,4363.5
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2019,8200
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2020,7556
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2021,7822
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2022,8362
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2023,9562.24
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2024,10087.04
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2025,10590.47
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2026,54723.85714285588
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2027,55362.42857142724
Waters Corporation (NYSE:WAT),2016,2167.4
Waters Corporation (NYSE:WAT),2017,2309.1
Waters Corporation (NYSE:WAT),2018,2419.9
Waters Corporation (NYSE:WAT),2019,2406.6
Waters Corporation (NYSE:WAT),2020,2365.4
Waters Corporation (NYSE:WAT),2021,2785.9
Waters Corporation (NYSE:WAT),2022,2972
Waters Corporation (NYSE:WAT),2023,3056.6
Waters Corporation (NYSE:WAT),2024,3207.03
Waters Corporation (NYSE:WAT),2025,3418.49
Waters Corporation (NYSE:WAT),2026,3618.07
Waters Corporation (NYSE:WAT),2027,3907.17
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2016,149697.3
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2017,177660.7
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2018,180772.3
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2019,170857.2
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2020,175607.8
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2021,207345.1
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2022,224124.2
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2023,194041.99
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2024,221826.26
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2025,248789.05
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2026,251390.54
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2027,261030.88
Vantiva S.A. (ENXTPA:VANTI),2016,4910.3
Vantiva S.A. (ENXTPA:VANTI),2017,4512.5
Vantiva S.A. (ENXTPA:VANTI),2018,4231.3
Vantiva S.A. (ENXTPA:VANTI),2019,4031.8
Vantiva S.A. (ENXTPA:VANTI),2020,3189.4
Vantiva S.A. (ENXTPA:VANTI),2021,2387.3
Vantiva S.A. (ENXTPA:VANTI),2022,2945.4
Vantiva S.A. (ENXTPA:VANTI),2023,2238.73
Vantiva S.A. (ENXTPA:VANTI),2024,2582.03
Vantiva S.A. (ENXTPA:VANTI),2025,2467.59
Vantiva S.A. (ENXTPA:VANTI),2026,32541.482142858673
Vantiva S.A. (ENXTPA:VANTI),2027,31160.271428572945
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2016,5017.2
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2017,5425
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2018,5771
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2019,7794
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2020,8040
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2021,8696
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2022,9003
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2023,8994.35
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2024,9258.77
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2025,9541.62
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2026,10115.03
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2027,10439.92
"Teradyne, Inc. (NasdaqGS:TER)",2016,1753.3
"Teradyne, Inc. (NasdaqGS:TER)",2017,2136.6
"Teradyne, Inc. (NasdaqGS:TER)",2018,2100.8
"Teradyne, Inc. (NasdaqGS:TER)",2019,2295
"Teradyne, Inc. (NasdaqGS:TER)",2020,3121.5
"Teradyne, Inc. (NasdaqGS:TER)",2021,3702.9
"Teradyne, Inc. (NasdaqGS:TER)",2022,3155
"Teradyne, Inc. (NasdaqGS:TER)",2023,2682
"Teradyne, Inc. (NasdaqGS:TER)",2024,3004.06
"Teradyne, Inc. (NasdaqGS:TER)",2025,3648.24
"Teradyne, Inc. (NasdaqGS:TER)",2026,4213
"Teradyne, Inc. (NasdaqGS:TER)",2027,4624.14
Thermo Fisher Scientific Inc. (NYSE:TMO),2016,18274
Thermo Fisher Scientific Inc. (NYSE:TMO),2017,20918
Thermo Fisher Scientific Inc. (NYSE:TMO),2018,24358
Thermo Fisher Scientific Inc. (NYSE:TMO),2019,25542
Thermo Fisher Scientific Inc. (NYSE:TMO),2020,32218
Thermo Fisher Scientific Inc. (NYSE:TMO),2021,39211
Thermo Fisher Scientific Inc. (NYSE:TMO),2022,44915
Thermo Fisher Scientific Inc. (NYSE:TMO),2023,42816.56
Thermo Fisher Scientific Inc. (NYSE:TMO),2024,43040.11
Thermo Fisher Scientific Inc. (NYSE:TMO),2025,46631.8
Thermo Fisher Scientific Inc. (NYSE:TMO),2026,50509.06
Thermo Fisher Scientific Inc. (NYSE:TMO),2027,53316.36
Northrop Grumman Corporation (NYSE:NOC),2016,24706
Northrop Grumman Corporation (NYSE:NOC),2017,26004
Northrop Grumman Corporation (NYSE:NOC),2018,30095
Northrop Grumman Corporation (NYSE:NOC),2019,33841
Northrop Grumman Corporation (NYSE:NOC),2020,36799
Northrop Grumman Corporation (NYSE:NOC),2021,35667
Northrop Grumman Corporation (NYSE:NOC),2022,36602
Northrop Grumman Corporation (NYSE:NOC),2023,39084.91
Northrop Grumman Corporation (NYSE:NOC),2024,41064.48
Northrop Grumman Corporation (NYSE:NOC),2025,43299.07
Northrop Grumman Corporation (NYSE:NOC),2026,45850.26
Northrop Grumman Corporation (NYSE:NOC),2027,48050.5
"Motorola Solutions, Inc. (NYSE:MSI)",2016,6038
"Motorola Solutions, Inc. (NYSE:MSI)",2017,6380
"Motorola Solutions, Inc. (NYSE:MSI)",2018,7343
"Motorola Solutions, Inc. (NYSE:MSI)",2019,7887
"Motorola Solutions, Inc. (NYSE:MSI)",2020,7414
"Motorola Solutions, Inc. (NYSE:MSI)",2021,8171
"Motorola Solutions, Inc. (NYSE:MSI)",2022,9112
"Motorola Solutions, Inc. (NYSE:MSI)",2023,9917.43
"Motorola Solutions, Inc. (NYSE:MSI)",2024,10446
"Motorola Solutions, Inc. (NYSE:MSI)",2025,11059.43
"Motorola Solutions, Inc. (NYSE:MSI)",2026,11685
"Motorola Solutions, Inc. (NYSE:MSI)",2027,12335
Xerox Holdings Corporation (NasdaqGS:XRX),2016,10771
Xerox Holdings Corporation (NasdaqGS:XRX),2017,9991
Xerox Holdings Corporation (NasdaqGS:XRX),2018,9662
Xerox Holdings Corporation (NasdaqGS:XRX),2019,9066
Xerox Holdings Corporation (NasdaqGS:XRX),2020,7022
Xerox Holdings Corporation (NasdaqGS:XRX),2021,7038
Xerox Holdings Corporation (NasdaqGS:XRX),2022,7107
Xerox Holdings Corporation (NasdaqGS:XRX),2023,6952.42
Xerox Holdings Corporation (NasdaqGS:XRX),2024,6783.35
Xerox Holdings Corporation (NasdaqGS:XRX),2025,6656.39
Xerox Holdings Corporation (NasdaqGS:XRX),2026,6604
Xerox Holdings Corporation (NasdaqGS:XRX),2027,6472
"Elitegroup Computer Systems Co.,Ltd. (TWSE:2331)",2016,924.9
"Elitegroup Computer Systems Co.,Ltd. (TWSE:2331)",2017,925
"Elitegroup Computer Systems Co.,Ltd. (TWSE:2331)",2018,982.1
"Elitegroup Computer Systems Co.,Ltd. (TWSE:2331)",2019,873.8
"Elitegroup Computer Systems Co.,Ltd. (TWSE:2331)",2020,802.9
"Elitegroup Computer Systems Co.,Ltd. (TWSE:2331)",2021,986.5
"Elitegroup Computer Systems Co.,Ltd. (TWSE:2331)",2022,968.7
"Elitegroup Computer Systems Co.,Ltd. (TWSE:2331)",2023,58.514285714289144
"Elitegroup Computer Systems Co.,Ltd. (TWSE:2331)",2024,49.6464285714319
"Elitegroup Computer Systems Co.,Ltd. (TWSE:2331)",2025,40.77857142857829
"Elitegroup Computer Systems Co.,Ltd. (TWSE:2331)",2026,31.910714285721042
"Elitegroup Computer Systems Co.,Ltd. (TWSE:2331)",2027,23.042857142863795
International Business Machines Corporation (NYSE:IBM),2016,79919
International Business Machines Corporation (NYSE:IBM),2017,79139
International Business Machines Corporation (NYSE:IBM),2018,79591
International Business Machines Corporation (NYSE:IBM),2019,57714
International Business Machines Corporation (NYSE:IBM),2020,55179
International Business Machines Corporation (NYSE:IBM),2021,57351
International Business Machines Corporation (NYSE:IBM),2022,60530
International Business Machines Corporation (NYSE:IBM),2023,61721.64
