,Device,Market,SubMarket,Spendings,DevSpends,MarketSpends,SubMarketSpends,Cogs,Cogs_1,Cogs_2,Revenue,Revenue_1,Revenue_2,Ebitda,Ebitda_1,Ebitda_2,Value
28,Analog Application Specific IC,Industrial,Manufacturing Equipment,599.933,309095.924,202444.977,52627.04,3186.31,2861.37,2547.6,4845.9,4300.2,3840.1,1261.6,1068.2,1007.2,2.734549097764611
29,Analog Application Specific IC,Industrial,Manufacturing Equipment,555.5809999999999,299683.612,190906.584,48480.544,3370.9,3186.31,2861.37,5158.6,4845.9,4300.2,1411.4,1261.6,1068.2,2.978
30,Analog Application Specific IC,Industrial,Manufacturing Equipment,625.4159999999999,328933.757,197047.823,54473.792,2996.52,3370.9,3186.31,4540.0,5158.6,4845.9,1283.2,1411.4,1261.6,2.6794
31,Analog Application Specific IC,Industrial,Manufacturing Equipment,775.2570000000001,392841.063,245502.837,72134.75200000001,3633.9,2996.52,3370.9,5546.5,4540.0,5158.6,1600.8,1283.2,1411.4,4.093302567186619
32,Analog Application Specific IC,Industrial,Manufacturing Equipment,907.534,421467.305,272578.716,80606.75200000001,4005.26,3633.9,2996.52,6150.5,5546.5,4540.0,1820.1,1600.8,1283.2,5.5275
35,Analog Application Specific IC,Industrial,Military/Aerospace,369.284,309095.924,202444.977,30769.57,3186.31,2861.37,2547.6,4845.9,4300.2,3840.1,1261.6,1068.2,1007.2,0.4655083580213662
36,Analog Application Specific IC,Industrial,Military/Aerospace,345.41,299683.612,190906.584,28777.034000000003,3370.9,3186.31,2861.37,5158.6,4845.9,4300.2,1411.4,1261.6,1068.2,0.4839999999999999
37,Analog Application Specific IC,Industrial,Military/Aerospace,332.377,328933.757,197047.823,26489.814,2996.52,3370.9,3186.31,4540.0,5158.6,4845.9,1283.2,1411.4,1261.6,0.4727999999999998
38,Analog Application Specific IC,Industrial,Military/Aerospace,386.444,392841.063,245502.837,32240.494,3633.9,2996.52,3370.9,5546.5,4540.0,5158.6,1600.8,1283.2,1411.4,0.6075152227024995
39,Analog Application Specific IC,Industrial,Military/Aerospace,450.421,421467.305,272578.716,36918.492,4005.26,3633.9,2996.52,6150.5,5546.5,4540.0,1820.1,1600.8,1283.2,0.7666999999999999
42,Analog Application Specific IC,Industrial,Other Industrial,237.248,309095.924,202444.977,37981.129,3186.31,2861.37,2547.6,4845.9,4300.2,3840.1,1261.6,1068.2,1007.2,0.284505108178472
43,Analog Application Specific IC,Industrial,Other Industrial,226.027,299683.612,190906.584,37117.218,3370.9,3186.31,2861.37,5158.6,4845.9,4300.2,1411.4,1261.6,1068.2,0.3054999999999999
44,Analog Application Specific IC,Industrial,Other Industrial,229.983,328933.757,197047.823,38652.791,2996.52,3370.9,3186.31,4540.0,5158.6,4845.9,1283.2,1411.4,1261.6,0.3221999999999999
45,Analog Application Specific IC,Industrial,Other Industrial,265.173,392841.063,245502.837,46251.69,3633.9,2996.52,3370.9,5546.5,4540.0,5158.6,1600.8,1283.2,1411.4,0.421810569441834
46,Analog Application Specific IC,Industrial,Other Industrial,293.566,421467.305,272578.716,50064.362,4005.26,3633.9,2996.52,6150.5,5546.5,4540.0,1820.1,1600.8,1283.2,0.5171999999999999
49,Analog Application Specific IC,Industrial,Test & Measurement,281.866,309095.924,202444.977,50486.738,3186.31,2861.37,2547.6,4845.9,4300.2,3840.1,1261.6,1068.2,1007.2,2.085037436035551
