,Company Name from Spend Tracker,Company Tag from S&P Global
109,HTC,HTC Corporation (TWSE:2498)
110,Huawei Technologies,
111,Humax,"Humax Co., Ltd. (KOSDAQ:A115160)"
112,Hyundai Mobis,"Hyundai Mobis Co.,Ltd (KOSE:A012330)"
113,IBM,International Business Machines Corporation (NYSE:IBM)
114,IDEMIA,IDEMIA France SAS
115,IGT,International Game Technology PLC (NYSE:IGT)
116,Ingenico,Ingenico Group - GCS
117,Ingersoll Rand,Ingersoll Rand Inc. (NYSE:IR)
118,Inspur,Inspur Digital Enterprise Technology Limited (SEHK:596)
119,Intel,Intel Corporation (NasdaqGS:INTC)
120,Intuitive Surgical,"Intuitive Surgical, Inc. (NasdaqGS:ISRG)"
121,iRobot,iRobot Corporation (NasdaqGS:IRBT)
122,Itron,"Itron, Inc. (NasdaqGS:ITRI)"
123,ITT Inc.,ITT Inc. (NYSE:ITT)
124,Johnson & Johnson,Johnson & Johnson (NYSE:JNJ)
125,Johnson Controls,Johnson Controls International plc (NYSE:JCI)
126,JTEKT,JTEKT Corporation (TSE:6473)
127,Juniper Networks,"Juniper Networks, Inc. (NYSE:JNPR)"
128,JVC Kenwood,JVCKENWOOD Corporation (TSE:6632)
129,Keurig,Keurig Dr Pepper Inc. (NasdaqGS:KDP)
130,Keyence,KEYENCE CORPORATION OF AMERICA
131,Keysight Technologies,"Keysight Technologies, Inc. (NYSE:KEYS)"
132,KLA-Tencor,KLA Corporation (NasdaqGS:KLAC)
133,Knorr-Bremse AG,Knorr-Bremse AG (XTRA:KBX)
134,Kone,"Kone Elevators Co., Ltd."
135,Konica Minolta,"Konica Minolta, Inc. (TSE:4902)"
136,Konka Group,"Konka Group Co., Ltd. (SZSE:000016)"
137,Kyocera,Kyocera Corporation (TSE:6971)
138,L-3 Communications,"L3 Technologies, Inc."
139,L3Harris Technologies,"L3Harris Technologies, Inc. (NYSE:LHX)"
140,LAM Research,Lam Research Corporation (NasdaqGS:LRCX)
141,Landis & Gyr,Landis & Gyr (Jersey) Ltd
142,Lear,Lear Corporation (NYSE:LEA)
143,Legrand SA,Legrand SA (ENXTPA:LR)
144,Lenovo,Lenovo Group Limited (SEHK:992)
145,Leonardo,Leonardo S.p.a. (BIT:LDO)
146,Lexmark,"Lexmark International, Inc."
147,LG Display,"LG Display Co., Ltd. (KOSE:A034220)"
148,LG Electronics,LG Electronics Inc. (KOSE:A066570)
149,Lite-on Group,"Lite-On Group Co., Ltd."
150,Lockheed Martin,Lockheed Martin Corporation (NYSE:LMT)
151,Logitech,Logitech International S.A. (SWX:LOGN)
152,Lutron Electronics,Lutron Electronics Gmbh
153,Magna International,Magna International Inc. (TSX:MG)
154,Magneti Marelli / Fiat,Marelli Corporation
155,Mando,HL Mando Corporation (KOSE:A204320)
156,Mattel,"Mattel, Inc. (NasdaqGS:MAT)"
157,Medtronic,Medtronic plc (NYSE:MDT)
158,Mettler Toledo,Mettler-Toledo International Inc. (NYSE:MTD)
159,Micro-Star (MSI),"Micro-Star International Co., Ltd. (TWSE:2377)"
160,Microsoft,Microsoft Corporation (NasdaqGS:MSFT)
161,Midea,"Midea Group Co., Ltd. (SZSE:000333)"
162,MiTAC,MiTAC Holdings Corporation (TWSE:3706)
163,Mitsubishi Electric,Mitsubishi Electric Corporation (TSE:6503)
